01 ; Artisan ; Gourdin ; Pot en argile de peinture ocre
02-03 ; Boucher ; Tranchoir en silex (comme hachette) ; Côte de mammouth
04-05 ; Brasseur ; Gourdin ; Outre de bière
06 ; Fabricant de canoë ; Dague ; Canoë et pagaie
07-08 ; Cordier ; Couteau (comme dague) ; 15 m de corde en peau
09-11 ; Nain tailleur de silex ; Hachette en silex (comme hachette) ; Silex, 500 g
12-13 ; Nain berger ; Bâton ; Jeune wapiti
14-15 ; Elfe fabricant de flèches ; Arc court ; 20 pointes de flèches en silex
16-18 ; Elfe éclaireur ; Lance ; Morceau de quartz à signaux
19 ; Porteur de feu ; Lance ; Pot en argile plein de braises
20-24 ; Pêcheur ; Harpon (comme javelot) ; 12 hameçons en silex
25-50 ; Cueilleur ; Couteau (comme dague) ; Panier de légumes
51-53 ; Halfelin dresseur ; Gourdin ; Louveteau
54-55 ; Halfelin oiseleur ; Fronde ; Cape en plumes
56 ; Guérisseur ; Gourdin ; Aiguille en os et fil en tendon
57-58 ; Herboriste ; Gourdin ; 500 g d’herbes
59-83 ; Chasseur ; Lance ; Peau d’animal
84 ; Assistant gardien du savoir ; Gourdin ; Os divinatoires
85-87 ; Orphelin ; Gourdin ; Étrange babiole de son ancienne tribu
88-90 ; Potier ; Gourdin ; 500 g d’argile
91 ; Assistant chaman ; Gourdin; 500 g d’herbes
92-93 ; Esclave ; Gourdin ; Curieuse pierre
94 ; Observateur d’étoiles ; Lance ; Morceau de fer météoritique
95-97 ; Tanneur ; Dague ; Armure en peau
98-100 ; Tisserand ; Dague ; 3 m de tissu
