Nom; Dégâts; Portée; Prix
Arbalète; 1d6; 20/50/75; 30
Arc court; 1d6; 15/30/45; 25
Arc long; 1d6; 20/40/60; 40
Bâton; 1d4; - ; 5 pa
Dague; 1d4 ; 3/6/9; 3
Épée courte; 1d6; - ; 7
Épée longue; 1d8; - ; 10
Épée à deux mains; 1d10; - ; 15
Fléau; 1d6; - ; 6
Fléchette; 1d4; 6/12/18; 5 pa
Fronde; 1d4; 12/24/48; 2
Garrot; 1 ; - ; 2
Gourdin; 1d4; - ; 3
Hache de bataille; 1d10; - ; 7
Hachette; 1d6; 3/6/9; 4
Hallebarde; 1d10; - ; 7
Javelot; 1d6; 9/18/27; 1
Lance; 1d8; - ; 3
Lance d’arçon; 1d12; - ; 25
Marteau de guerre; 1d8; - ; 5
Masse; 1d6; - ; 5
Matraque; 1d3/2d6; - ; 3
Sarbacane; 1d3/1d5; 6/12/18; 6
